name,DOB,sex,race,height,weight,zip,street,brth_cert_number
Frank MONTALVO,070778,0,4,64,145,23198,9003 WOODHAVEN  ST,897931
Kara QUEZADA,112543,0,1,58,131,29437,4090 FOWLER  ST,437969
Jasmin WINKLER,090351,0,2,70,139,36732,1671 HIBERNIA  ST,582449
Saniya BAIRD,030172,0,3,,87,21671,8219 WOODVIEW  STREET,256932
Anahi ROBINETTE,081659,0,,47,79,27255,9361 OAKHURST  ST,829508
Jadyn SOMMERS,120843,0,2,58,105,26307,3881 MCKOY  STREET,788687
Jaylin NELSON,111174,0,1,,163,22570,5286 GRAYSON  ST,744416
Natasha JOHN,011043,0,1,,,39142,2101 HIGH GATE  STREET,803916
Jasper THURSTON,111565,0,3,,165,29727,8408 EMERSON  STREET,329196
Saniya SEAL,051871,0,1,65,,38505,488 GLENLAKE COMMONS  ST,634204
Presley POWELL,052348,0,4,72,135,30175,4128 SWANTON  STREET,200987
Hayden GRUBB,070257,0,1,67,135,34778,1243 PLAINVIEW  ST,454075
Travis GOULD,120354,0,3,69,,37437,4003 HIBERNIA  STREET,626770
Seth NEWCOMB,122259,0,1,,124,34265,3937 WINNONA  ST,831860
Charlotte MAY,099015,0,4,61,161,28368,2242 CANDLER GROVE  STREET,518320
Maya FARLEY,102353,0,3,94,163,29996,2068 DEKALB INDUSTRIAL  ST,430204
Shayla FARLEY,081776,0,4,,186,37140,6124 MONTGOMERY  STREET,491749
Cesar BOWERS,092164,0,2,94,210,26854,2980 OAKHURST  STREET,648321
Sam BRINK,102858,0,2,,124,29396,7306 JEFFERSON SQUARE  ST,720739
Belli CHAVIS,120844,0,2,58,153,25131,7972 MONTICELLO  ST,735984
Jakob HENNING,121845,0,3,85,154,32205,6400 FERNDALE  STREET,213958
Shannon LYLE,010683,0,4,66,144,32278,2045 GORDON  ST,727090
Albert DENTON,051954,0,1,58,129,22586,318 CHEWNING  STREET,730490
Yesenia PAXTON,082285,0,3,70,,,,823973
Nelson HALE,062156,0,4,74,177,26881,8914 BRUTON  ST,750947
Ismael WOODY,050354,0,1,73,,21838,4912 HORIERIC  STREET,581192
Philip HO,112975,0,1,,,37286,5844 HAMPTON  ST,149502
Nadia ELLISON,051868,0,2,66,138,23504,3026 INMAN  ST,284529
Easton BARNES,021782,0,2,59,135,33207,1661 PATE  STREET,806988
Ricky GEARY,051873,0,4,62,157,24165,5887 DURAND FALLS  STREET,162234
Nicholas MANLEY,013148,0,3,78,156,,,818985
Desiree HOLTON,042647,0,1,,126,38814,338 MCKINNON  ST,405873
Stella DUNHAM,010444,0,2,80,154,30877,6990 WESTCHESTER  STREET,616373
Brooke CORTES,021844,0,1,,120,32123,3833 BEAUMONT  STREET,414480
Naomi CLEMENS,052480,0,2,,156,30553,8078 NORRIS  ST,572404
Hayden PAXTON,102341,0,1,72,166,26265,9839 PINEHURST  STREET,688365
Abby TALBERT,110862,0,1,79,107,36279,9149 WILLIAMS  STREET,660738
Karen WARNER,012953,0,3,64,,30659,3869 KNOB HILLS  STREET,842123
Deandre REID,092961,0,2,64,144,21393,5163 HIGH GATE  ST,869421
Shayla HOBBS,061360,0,3,,,26171,9394 NELSON FERRY  STREET,503005
Douglas MCMILLAN,021568,0,1,75,179,29832,3788 DEERWOOD  ST,602786
Allyson MCGOWAN,010555,0,4,65,139,38973,4788 MADISON  STREET,345501
Jeremiah SYKES,032255,0,2,78,169,23040,7038 RIDLEY HOWARD  ST,611118
Alec BASS,120685,0,1,70,143,32944,155 FAIRVIEW  ST,813179
Porter POIRIER,031441,0,2,,,38095,7874 CHARTER  STREET,243517
Jennifer SCARBOROUGH,040373,0,4,67,152,29450,8602 DURAND FALLS  STREET,175090
Arthur READ,030566,0,4,51,144,27632,4408 ZOAR  STREET,757718
Kyle REARDON,090766,0,4,56,92,33944,350 JOHNSTON  ST,683317
Raymond REID,042247,0,3,,114,24884,6278 VILLAGE WALK  ST,364667
Jayden VENTURA,072850,0,3,,141,,,584409
Kaiden WARREN,071884,0,3,,127,25625,975 LAREDO  ST,850392
Gregory STARKEY,041958,0,1,50,,38049,8676 WINTER  STREET,332331
Terry ABREU,062450,0,1,62,134,31927,9152 BRUTON  STREET,430404
Chloe ROMO,112642,0,1,77,166,38276,2547 INMAN  STREET,663594
Emiliano SINCLAIR,091961,0,1,78,165,21596,1882 MELROSE  ST,165223
Hunter MCNAMARA,040457,0,2,,,30359,1978 HAROLD BYRD  ST,421463
David STUBBS,021645,0,2,,150,26029,5089 VIVIAN  STREET,788145
Max CAPPS,070383,0,2,,139,33919,3183 ERIE  STREET,329542
Dean HUYNH,022772,0,4,69,,37692,692 COLUMBIA  STREET,474873
Naomi WOLFORD,090369,0,2,,140,21786,1471 ZOAR  STREET,124596
Garrett PUTNAM,022172,0,4,78,,39347,1113 SWANTON HILL  ST,456213
Ethan BARKLEY,113069,0,1,52,,26270,1390 CHAMPLAIN  STREET,728039
Leslie LEAL,030864,0,4,,150,33861,4065 PINE  STREET,472645
Jadyn NEWBY,020454,0,2,67,118,23227,9072 ROCKLAND  ST,830772
Angie SHORT,031764,0,4,90,157,31370,7960 FENWAY  STREET,302527
Elaina BARBER,032671,0,3,62,,24782,2185 GARDEN  STREET,374259
Kathleen JOLLY,120882,0,2,78,,25375,2095 JOHNSTON  STREET,560498
Esteban NGUYEN,030461,0,3,66,,29691,2370 MCDONOUGH  ST,238493
Brayden SIMMS,042983,0,1,,180,24662,6167 CALLAWAY BUILDING  STREET,691038
Fabian ELLIOT,041367,0,4,69,126,30777,2250 ATLANTA  ST,254036
Benjamin CYR,111557,0,3,69,,32926,5532 ELECTRIC  ST,437823
Joanna ROPER,053081,0,3,44,114,25398,515 JOHNSTON  ST,615122
Eddae ROCHE,041544,,2,,88,35765,5192 SWANTON  STREET,799498
Cali BAGWELL,063068,0,4,68,172,32535,8625 CHEWNING  ST,847893
Reese LADNER,050448,0,2,,,29739,8656 MONTGOMERY  STREET,439534
Dayanara BRYAN,052652,0,3,,,34011,8697 DAVIS  STREET,361866
Alison JOHNS,013068,0,2,65,118,26857,9381 HEATHERDOWN  STREET,889689
Bridget GOMES,052752,,3,55,,38975,1893 SCOTT  STREET,185873
Tucker FAGAN,071141,0,2,,153,23474,4143 THOMAS  ST,304640
Itzel LAMBERT,091679,0,4,,204,30744,7674 ROYAL PATH  ST,481551
Kaylin CHANDLER,070348,0,3,,170,38539,7431 WINN  STREET,290714
Landon OLSON,101770,0,4,47,152,27718,8560 DYSON  STREET,386422
Evangeline GARZA,071976,0,4,65,153,,,707390
Erica JIMENEZ,122948,0,4,60,120,32884,7493 HILLYER  ST,141818
Lyla TANG,091848,0,1,79,175,28103,8612 WOODFERN  ST,755532
Allyson BERMAN,021948,0,1,77,179,24534,5724 KNOB HILLS  ST,445856
Yahir LADNER,110881,0,3,,163,36209,7988 PINE  ST,243913
Janelle ERICKSON,062452,0,2,74,208,39230,7857 RIDLEY HOWARD  STREET,142762
Brennan MARTINEZ,021373,0,2,73,135,33772,5471 ERIE  ST,437051
Evangeline SANTIAGO,051959,0,1,68,173,35784,1864 BARRY  STREET,223530
Alec LYNN,062853,0,4,94,135,29233,2887 BROWN  ST,142493
Levi BALLARD,101660,0,1,76,163,,,100238
Roman MATOS,042641,0,3,69,114,26025,2266 EASTLAND  STREET,399775
Taylor NESBITT,082380,0,4,71,,34775,1211 CANDLER POINTE  STREET,856821
Jamarion CROSS,042851,0,2,76,159,26562,3797 FOWLER  STREET,880105
Evangeline AMADOR,050548,0,3,69,124,22730,2750 RUPERT  STREET,326563
Lindsey RATLIFF,070650,0,3,63,,22305,7370 MAEDIRIS  ST,108860
Zoey HAAS,021255,0,3,,133,25027,3850 CHEVELLE  ST,755506
Macie SWAN,052177,0,1,58,,20711,6471 MEAD  ST,111971
Paris ROLLINS,021757,0,2,48,119,32085,4564 HEATHERDOWN  STREET,557876
Raegan TOMPKINS,021480,0,3,79,157,39334,4151 JEFFERSON  STREET,318551
Abril HOLMES,021652,0,3,,166,23625,8455 PARKSIDE  ST,809198
Natalie MARRERO,062764,0,2,60,154,24670,4972 GORDON  STREET,427765
Sarah GRADY,061850,0,2,57,120,22599,466 SHADOWMOOR  ST,121824
Kai CAUDILL,022540,0,4,,157,20294,6594 VIVIAN  STREET,111216
Raegan COYLE,100652,0,4,,106,30791,8797 1ST  STREET,491959
Kailey HYDE,012683,,3,76,139,38465,527 HOOD  ST,126734
Eliza LOCKETT,051155,0,3,72,149,34091,7368 ASHFIELD  ST,589862
Jace HARTLEY,022384,0,2,66,129,38095,6487 MAPLE  ST,416369
America DELEON,082465,0,3,60,,29243,8469 VILLA  ST,642859
Kaitlynn GAVIN,041840,0,3,,169,38302,7644 WEEKS  STREET,178585
Javier KEMP,052951,0,1,65,137,24799,8693 CONWAY  STREET,670035
Veronica COLEY,111544,0,2,68,132,34276,6062 LANSDOWNE  ST,479548
Brittany METZ,052864,0,2,77,220,24584,8230 FAIRFIELD  STREET,769027
Everett DARBY,041380,0,4,76,136,21357,726 GRIFFIN  ST,450626
Macy ARCHULETA,100967,0,2,70,179,21335,7724 MEAD  STREET,761183
Sydney LAMAR,011743,0,3,50,134,32504,9534 FAIRPARK  STREET,130726
Malachi DANIELS,091675,0,4,79,163,28997,9042 MICHIGAN  ST,288599
Amya BERNARD,061340,0,1,72,163,21664,8033 CARTER  STREET,804374
Madalyn JACQUES,041075,0,3,75,149,38815,818 HIGH GATE  ST,505512
Cassandra LEVY,101045,0,2,60,158,35728,3869 JOHNSTON  STREET,774501
Jasper MINOR,012955,0,1,69,,38142,5663 EMERSON  STREET,526868
Landen GENTILE,060150,0,4,49,120,39410,8359 KATHRYN  STREET,147285
Dane GUTHRIE,010273,0,4,69,140,39091,6219 WILLIAMS  STREET,884996
Anaya VICK,031270,0,3,58,125,33135,863 WILTON  ST,321199
Oscar ANGEL,090762,0,4,62,152,33653,7698 RUPERT  STREET,745537
Eden HASKINS,021876,0,2,,145,32243,4740 EMERSON  STREET,125814
Ronald LEVIN,010541,0,3,,170,29868,8442 HAMPTON  STREET,864829
Alaina NOE,011478,0,1,74,154,36943,1382 AVERY  STREET,124678
Sierra BROTHERS,013155,0,3,63,143,27927,6310 CANDLER GROVE  ST,848145
Willow APONTE,111953,0,3,61,149,35167,859 MICHIGAN  ST,665701
Destiny AMOS,120968,0,2,85,163,25888,981 FORKNER  ST,723240
Max AVALOS,062583,0,2,58,120,28617,9031 GREEN  ST,753210
Miriam HONG,040277,0,1,56,,20199,1458 OLDFIELD  STREET,562061
Chris NEWSOME,050115,0,3,,121,30592,2153 PLAINVIEW  ST,534128
Delaney PIERSON,122374,0,4,69,,35452,8932 CONWAY  ST,152245
Kevin NETTLES,083150,0,1,,168,39245,1619 VICKERS  ST,629116
Marc ENNIS,100383,0,3,75,,31376,2551 SYCAMORE  ST,615515
Melvin CROW,040649,0,4,70,152,33927,4243 HIBERNIA  ST,414093
Morgan PRIEST,061667,0,4,53,,25318,5333 GARDEN  STREET,147020
Paulina HESTER,110378,0,4,67,126,36098,2820 COLLEGE  ST,180626
Jeffery NORTH,081660,0,1,71,150,34632,2395 MERRILL  ST,438077
Julia HERRING,102679,0,1,74,207,29684,3894 STERLING  STREET,727582
Carson MCNAMARA,110556,0,1,65,135,28753,9409 LAREDO  STREET,851965
Estrella DEWITT,090451,0,1,,,21241,1974 ATLANTA  STREET,121287
Hanna HO,042765,0,3,82,154,38622,6776 ASHBURY HEIGHTS  ST,306396
Gael HURST,032369,0,4,78,,29187,1668 PINEHURST  ST,647844
Ciara MCBRIDE,111379,0,4,68,108,36560,8432 CANDLER  ST,750839
Andre HICKS,092954,0,1,65,132,37575,4910 WILTSHIRE  ST,671357
Ali SOLOMON,082763,0,4,67,118,39401,8405 APPIAN  ST,861496
Madalyn FREE,032755,0,2,68,,23320,3705 DAVIS  ST,815107
Alejandro NORWOOD,020543,0,4,,181,31678,3443 GARLAND  ST,491758
Kameron KURTZ,020241,0,2,,150,23453,1810 REGENCY PATH  ST,173945
Heaven HUYNH,121480,0,2,91,,31630,7673 LANDOVER  ST,637122
Drake REEDY,071251,0,2,88,145,38333,8741 OLE ANSLEY  ST,370686
Austin BUTTS,032362,0,1,58,125,34217,8733 VILLA  ST,393309
Anthony WEBBER,110869,0,3,58,87,28354,7257 ADAMS  ST,842246
Peter STAPLES,020240,0,1,,161,37415,5283 FITZGERALD  ST,656275
Heaven ROPER,080654,0,2,51,117,38203,5373 VILLA  STREET,470218
Guadalupe MADRIGAL,012660,0,1,63,163,30956,7532 LAREDO  STREET,717263
Kyla WORLEY,101084,0,3,48,111,31888,7357 EVANS  ST,558622
Maggie BEST,121478,0,4,74,152,27278,8035 RIDLEY  ST,667939
Sidney HELMS,070369,0,1,64,147,34768,9934 VIVIAN  STREET,501937
Gage HUNTER,111247,0,1,77,159,31912,3775 MOUNT VERNON  ST,664357
Reese ROUSH,121355,0,3,71,146,22716,8607 DEKALB INDUSTRIAL  STREET,360225
Alejandra LUCAS,112647,0,4,67,127,21444,5738 LOCKWOOD  ST,376253
Ana DEVORE,100983,0,1,61,115,21561,6039 ADAMS  STREET,183626
Connor MCKENNA,091842,0,1,65,140,39341,3393 BRUTON  ST,654379
Randy MENDEZ,020666,0,3,68,144,22678,3622 TWIN OAKS  ST,284212
Curtis CONNOLLY,082855,0,4,60,161,34537,2256 PEAVINE CREEK  STREET,604427
Harmony WALDRON,122859,0,1,53,,31274,1151 PEAVINE CREEK  ST,353135
Elle TYSON,092654,0,3,83,,35334,7528 DURAND  ST,533168
Billy KEYES,081270,0,3,64,123,24069,729 ADAIR  ST,160452
Hunter IRBY,080657,0,3,56,124,33751,6262 BREENS  ST,586463
Hudson LESLIE,092478,0,2,58,124,25114,6646 LUCERNE  ST,226924
Michaela PATE,071860,0,2,89,,22966,5958 OLDFIELD  STREET,246164
Lizbeth RICKS,022868,0,4,64,126,37639,8099 RENFROE  ST,547295
Kassidy DODGE,090377,0,4,55,96,28397,2281 POWELL  ST,840415
Keaton HATTON,050971,0,3,68,171,35092,6460 WILLIAMS  STREET,339073
Elle HATTON,010276,0,4,75,,25274,7893 WINN  STREET,346020
Alyssa LILLY,102275,0,1,81,171,38642,3289 DURAND  ST,102897
Lukas DUMAS,081565,0,3,63,168,24059,371 PEAVINE CREEK  ST,221657
Miriam ANAYA,122273,0,1,72,,25887,2338 SWANTON HILL  ST,320485
Angie PONDER,010171,0,1,67,125,28805,4504 NORRIS  ST,185299
Albert LEMONS,052776,0,4,91,150,22815,2596 BREENS  STREET,770830
Isabelle LARSEN,111150,0,2,65,,34057,6180 HEATHERDOWN  ST,514605
Elise FOLEY,080785,0,2,60,132,36022,7165 SPRINGDALE  STREET,326026
Ryan ENGLAND,091859,0,3,65,,33156,2158 RIDLEY HOWARD  STREET,204496
Alayna BORDEN,110168,0,4,,,21258,7617 SENECA  STREET,727922
Brodie CAVANAUGH,092947,0,2,70,141,33182,1308 WOODLAWN  ST,257878
Angie IVEY,062646,0,3,,139,34372,3322 CANDLER  STREET,547060
Kristina ARNETT,040472,0,2,,,21650,9537 POWELL  ST,809673
Perla BARBOSA,101544,0,2,58,110,32633,8336 OAKLAND  STREET,726967
Madison VANHORN,021862,0,,69,137,32342,9109 GREEN  ST,555606
Javon CALL,040867,0,3,,147,35215,2476 OLDFIELD  ST,260473
Camden BERG,092676,0,2,69,146,21357,3399 NORTHERN  ST,586655
Ashlynn CORONA,092960,0,1,57,137,39011,9780 SYCAMORE  STREET,787907
Ryan XIONG,111569,0,2,,125,24271,3540 HANCOCK  STREET,824503
Alaina BUNN,032171,0,2,56,100,34591,3358 RUPERT  ST,734603
Kailey NEUMANN,022067,0,4,60,,37702,6291 FERNDALE  ST,689821
Kadence GRAHAM,093082,0,4,67,180,22601,9690 TANYARD CREEK  STREET,806528
Caroline NESBITT,062049,0,,64,164,26371,3547 VIVIAN  STREET,560372
Emily SLONE,011079,0,3,66,146,26137,6736 EVANS  ST,463302
Lucy BROUSSARD,040780,0,2,58,127,34269,8980 WEEKS  ST,871142
David SAWYER,092477,0,2,69,145,34932,6563 FAYETTEVILLE  STREET,844694
Melanie BORDEN,112358,0,1,,123,34267,2806 VILLA  STREET,500416
Morgan ROOT,021585,0,1,77,,25315,5072 OAKHURST COMMON  ST,250583
Zachary MCALISTER,120765,0,4,71,130,28517,8179 CANDLER POINTE  STREET,843547
Johanna GREENE,072340,0,1,,177,33296,8319 ASHWOOD  STREET,384379
Grant HUNTER,072384,0,4,77,168,29182,5168 MCKINNON  ST,408957
Vincent GARCIA,061782,0,4,74,191,32015,273 STERLING  STREET,675634
Meredith ROCHE,111878,0,4,91,134,24242,9447 COLUMBIA  STREET,135033
Kaitlynn QUEZADA,081780,0,2,82,155,30268,5834 CALLAWAY  ST,308891
Katherine KISER,062067,0,1,44,,26413,5934 PEAVINE CREEK  ST,755752
Curtis AGUILAR,081556,0,4,81,151,34377,3925 JOHNSON  STREET,352899
Jaden MCCARTNEY,110752,0,3,,,39927,2288 LAKE  STREET,541969
Emmanuel PACK,030150,0,3,54,142,23393,6458 GROVEMONT  ST,744319
Angela PATTERSON,091741,0,1,,171,33490,355 TALLEY  STREET,175175
Liam WHITING,121975,0,2,90,163,20758,2028 RUSSELL  ST,795405
Cassidy FELDMAN,073040,0,2,80,142,33917,7036 POPE  STREET,438187
Stella STORY,100156,0,4,60,,22340,2711 MOUNTAIN VIEW  STREET,203596
Mia QUINTANA,102366,0,3,,123,21012,4533 RIMINGTON  STREET,282807
Karina IRVIN,112361,0,4,60,100,31875,1402 SUPERIOR  ST,581300
Amelia SELLERS,083040,0,4,58,116,36167,9073 WIMBERLY  STREET,593436
Isabel HANSON,042855,0,1,67,154,39689,9219 CANDLER GROVE  ST,215242
Rachael WARNER,052345,0,1,64,166,33144,4557 ADAIR  ST,495978
Julianna HOLBROOK,012175,0,4,71,140,25188,4957 MELROSE  STREET,608714
Madelyn MORAN,032983,0,1,63,,35979,4154 CARTER  STREET,509018
Miriam ALFARO,082473,0,2,54,124,29946,7139 SWANTON  STREET,871271
Daisy CASE,122966,0,2,86,153,37318,860 BROWER  STREET,615565
Darius PROCTOR,051966,0,3,57,99,32475,1505 HOWARD  STREET,801419
Lena JUNG,081158,0,3,61,124,29669,4118 GLENN  ST,422118
Jermaine CRAIN,090474,0,2,69,136,34170,7918 DALEROSE  STREET,480958
Aileen CHRISTENSON,101975,0,3,,143,38439,6056 GREENWOOD  STREET,639497
Raymond SCHAEFER,072476,0,1,64,133,27622,3914 SYCAMORE  ST,722666
Hannah ALANIZ,041041,0,3,63,110,21984,1982 OAKHURST  ST,445648
Jasper CARY,020772,0,4,44,132,31204,6127 WOODBURY  STREET,891750
Hayden OGLE,042971,0,3,,117,31021,2508 WOODLAWN  ST,487845
Alayna HANEY,033153,0,4,,,29113,2724 DEARBORN  STREET,398786
Alexia BURCHETT,041664,0,1,63,123,22215,9932 JEFFERSON SQUARE  ST,137283
Haley BENOIT,051481,0,2,63,114,31652,7814 POPE  STREET,374870
Xavier WASHINGTON,071069,0,1,,111,28376,6442 TALLEY  ST,786004
Alexandria THURMAN,120469,0,2,67,184,30927,1643 RIDLEY  ST,498523
Cheyanne BELL,031543,0,2,77,157,34810,5009 PARKSIDE  ST,832167
Alina SPEAR,071169,0,1,78,208,27781,9416 SWANTON  ST,565537
Xander ECKERT,011350,0,1,75,144,23940,1039 POPLAR  ST,636133
Christian LAW,110578,0,2,66,145,36755,929 EASTLAND  ST,546442
Theodore GRECO,032768,0,2,62,,32147,4946 PINE  ST,324977
Eliana KEITH,070166,0,3,,144,36132,3973 CREEKWOOD  ST,374977
Brayan SWAIN,070472,0,3,71,136,36888,8186 DURAND FALLS  ST,820991
Garrett CROFT,121166,0,4,73,141,36759,9721 BROWN  ST,757545
Callie SWEENEY,040178,0,3,49,,24612,7200 WILLOW  STREET,699840
Cheyanne LOVETT,071585,0,3,,135,24177,9000 DURAND FALLS  ST,196178
Madalyn SEWELL,030947,0,2,51,106,25797,7663 LAREDO  ST,316074
Kyleigh STAHL,040664,0,4,59,141,33091,1329 FAIRPARK  ST,590719
Enrique BARTLEY,110770,0,4,63,123,23837,197 MOCKINGBIRD  STREET,137325
Julie BEAL,101959,0,4,,,23774,3380 HAMPSHIRE  STREET,329232
Nolan RIVAS,042440,0,4,75,199,25590,2995 ROCKLAND  ST,100240
Richard SORENSEN,071975,0,1,61,128,25215,163 CHEVELLE  STREET,445908
Cristopher CORNELIUS,012652,0,1,59,136,34035,5887 GREYLOCK  ST,753854
Leon JOHNSON,091154,0,2,63,114,22064,9141 OLD DECATUR  STREET,251763
Emilee RUTH,012071,0,2,57,,38635,3175 WINNONA  STREET,349310
Easton KRAUSE,091659,0,4,60,164,35287,9686 WINTER  STREET,560423
Kathryn MALONEY,010185,0,1,63,147,36511,198 DYSON  ST,613209
Lindsey BURROWS,011944,0,3,57,127,32227,162 DEERWOOD  STREET,895001
Ali BREWSTER,040251,0,3,68,144,31833,9420 MONTICELLO  STREET,800642
Kaden SORENSON,121669,0,3,66,153,25033,8980 HAMPTON  ST,834828
Julie SHAPIRO,041361,0,4,74,,36601,2655 COVENTRY  STREET,732956
Kyleigh HURT,051243,0,2,,,39918,5356 GARDEN  ST,133390
Aaron BLEVINS,013140,0,3,,151,35351,9997 LENORE  ST,514789
Abigail BURR,030275,0,3,55,138,22746,5103 RUPERT  ST,711889
Issac KENNY,081069,0,4,67,138,31503,2769 GARDEN  STREET,228293
Cristian HITE,110859,0,2,,159,35891,6414 DURAND FALLS  STREET,123579
Jillian LAWS,031148,0,3,79,180,29448,4382 BENSON  ST,481546
Jamarion MORELAND,060975,0,1,59,120,21985,3518 CANDLER POINTE  STREET,899976
Declan FLOOD,011674,0,3,73,,20913,2469 SYCAMORE RIDGE  STREET,226704
Lauren MACDONALD,082749,0,4,81,140,30521,5520 RIDLEY  STREET,181459
Erik HANSON,120462,0,4,63,130,22409,1798 LAKE  STREET,188074
Arthur NORWOOD,032941,0,5,61,89,26590,5797 RIDLEY  STREET,360450
Peyton MANNING,010675,0,1,76,137,38361,4525 BUCHANAN  ST,336849
Cali BRAY,071266,0,1,71,151,24122,2091 MCCLEAN  STREET,316021
Macy JACQUES,102278,0,2,71,156,37256,1023 ZOAR  ST,236527
Carolina LUCAS,041185,0,1,60,149,28910,3577 CANDLER GROVE  ST,235106
Vivian ZIMMERMAN,110445,0,4,55,153,37778,7834 DURAND FALLS  ST,735906
Sarah MULLEN,061359,0,2,79,155,37643,7898 ANSLEY  STREET,277211
Nasir FIELD,061476,0,1,77,,32707,6310 UNDERWOOD  STREET,833172
Harmony HAN,022344,0,3,71,162,21622,4515 SPRINGDALE  STREET,202881
Angelique VU,083060,0,4,70,179,36423,611 GRIFFIN  ST,804204
Keira MORRISSEY,021283,0,4,64,,27506,8726 HEATHERDOWN  STREET,596916
Jamari BLISS,070470,0,4,63,,21087,4377 REGENCY PATH  ST,577352
Esmeralda JOHNSON,061751,0,3,81,140,20271,2221 GLENDALE  ST,145393
Moises YAZZIE,032156,0,4,60,142,38059,902 LIVINGSTON  STREET,579533
Izabella CLARY,071949,0,3,80,,34647,8350 APPIAN  STREET,233712
Joseph WILLIAMS,052144,0,2,70,200,29114,8606 HEATHERDOWN  STREET,703362
Dylan DENNIS,082355,0,1,71,139,25924,8859 WINTER  ST,826692
Raul ENGEL,102050,0,2,69,158,32760,4501 PINECREST  ST,112053
Dayanara WOLFORD,042669,0,3,,136,26838,2534 RIDLEY  ST,332612
Alivia LINN,062556,0,4,52,149,22747,5545 COTTONWOOD  ST,398952
Harley THOMPSON,082474,,2,,139,20642,7072 WOODBURY  STREET,734630
Jaxson PITTS,122644,0,4,84,133,36345,8234 HURON  STREET,738556
Kassidy BRITTON,061459,0,2,67,131,37605,9283 FENWAY  ST,641642
Deandre HITCHCOCK,010580,0,4,,102,29664,8522 MCDONOUGH  STREET,662409
Cole HALE,033142,0,3,63,140,39844,3942 POPE  ST,192006
Sage DUNCAN,010951,0,3,69,133,28366,1494 RIDGELAND  STREET,712387
Trey LEDFORD,011674,0,3,,114,28662,1501 FERNDALE  ST,392059
Ariel GARZA,101450,0,3,,118,27773,2001 MISSIONARY  STREET,248697
Kade CRABTREE,031062,0,3,56,,36118,7293 WHEATFIELDS  ST,626251
Nyla FUNK,060754,0,3,55,103,27395,8175 CANDLER OAKS  STREET,429149
Laila TYLER,122141,0,4,52,135,25822,8245 PATTILLO  STREET,172816
Marc HARMS,070651,0,2,59,,24566,9118 SPRING  ST,841254
Sasha OCHOA,091270,0,3,77,,30588,4469 HILLCREST  ST,634690
Jordan DOLAN,031384,0,2,67,,22592,1105 CREEKWOOD  ST,292038
Landyn GARRETT,021551,0,1,70,152,34897,1582 CALLAWAY  STREET,597649
Gerardo MALONEY,101280,0,1,52,,38762,7233 ASHWOOD  ST,230149
Jamari STOVER,031673,0,1,62,98,28933,7761 FORREST  STREET,534142
Carly CHAVEZ,112776,0,2,,152,24803,9057 CHAMPLAIN  ST,663356
Nayeli LANKFORD,112971,0,3,,160,23133,1985 WILTON  ST,220590
Danielle CONROY,120162,0,2,76,151,33491,3648 SYCAMORE RIDGE  STREET,259040
Lukas GUILLORY,032078,0,1,,109,35808,2651 SHADOWMOOR  STREET,428860
Jonah SANTOS,011648,0,3,78,169,21643,1061 DAVIS  ST,637068
Anastasia KIRKLAND,090175,0,3,83,145,25128,9654 NELSON FERRY  ST,573662
Alondra COOPER,061365,0,4,74,,23514,4400 BUCHANAN  ST,447852
Michaela ACOSTA,032642,0,1,75,149,24786,4427 POWELL  STREET,128058
Cheyenne WONG,070466,0,1,50,111,20000,3344 ASHBURY  ST,620833
Michael BAGWELL,101379,0,1,,110,26585,9085 NORRIS  ST,816486
Landyn GIFFORD,010572,0,2,62,107,24220,8215 MISSIONARY  ST,498957
Marc LUTHER,082457,0,3,60,153,38444,9181 MCDONOUGH  ST,251723
Madyson TREJO,020784,0,1,63,,39086,4476 ATLANTA  ST,781496
Micah RIVAS,030564,0,3,94,144,37038,1648 HILLMONT  ST,115996
Anderson FUENTES,120753,0,4,74,,35558,4504 JEFFERSON  ST,491213
Ryan RENTERIA,102061,0,4,69,136,22554,5431 WILLOW  ST,188023
Jalen STOKES,032459,0,3,70,195,22338,3791 CHARTER  STREET,437325
Martin WAHL,042647,0,4,63,115,20418,4337 RIDLEY HOWARD  ST,762563
Jace MCCRAY,010282,0,1,,,28514,3645 FAYETTEVILLE  STREET,385086
Paige LITTLEJOHN,092172,0,3,60,,37705,4905 CANDLER  ST,274474
Cohen LANCASTER,092053,0,2,72,99,26377,2488 CHARTER  STREET,326334
Dakota MARSH,062177,0,3,,,22172,6642 MICHIGAN  STREET,857167
Jessie LAW,031662,0,2,93,199,35273,6606 FAYETTEVILLE  ST,587825
Valerie BUFFINGTON,071951,0,3,51,133,20166,8850 BUCHER  STREET,455333
Ali GILBERT,010868,0,4,,160,39878,7298 OAKHURST  STREET,612925
Jorge MAXWELL,091181,0,1,69,121,28423,4559 DEKALB COUNTY COURTHOUSE  STREET,769207
Malachi NORRIS,113049,0,2,67,131,28016,2047 POPLAR LANE  ST,147406
Johanna GARRISON,092848,0,4,87,134,31785,2893 LOCKWOOD  STREET,186574
Kira BERNAL,010258,0,1,,140,25127,8245 ROCKLAND  ST,275564
Jordan IRIZARRY,030856,0,3,58,160,32317,8812 COVENTRY  STREET,236118
Lilly CLAY,122584,0,4,76,206,26551,7640 ASHBURY  ST,187073
Moses MONROE,070751,0,3,,127,24413,4330 FORREST  STREET,617912
Anna TOBIAS,030662,0,1,78,174,21639,7168 PENSDALE  ST,759086
Anya HARRELL,022041,0,2,,141,20858,7111 EVANS  STREET,761754
Lindsay MCINTYRE,101750,0,1,,111,20957,2952 MCKOY  STREET,685390
