firsrt_name,last_name,DOB,sex,race,height,weight,ZIP,street,defect_code
Madisyn,GUSTAFSON,08291973,0,1,57,,22804,5390 HILLDALE  ST,302,
Alan,DENNIS,01091976,0,2,67,140,30358,3202 OAKVIEW  ST,186,
Peter,VALDEZ,05181980,0,3,72,145,28053,2729 NEW  STREET,385,
Luke,VILLARREAL,06061953,0,4,57,,37392,7232 ADAIR  ST,202,
Brianna,CARRILLO,12021946,0,4,,,31219,6039 OLD DECATUR  ST,438,
Ryder,KEYS,11101952,0,1,,98,,,137,
Brennan,MEDLEY,02281968,0,2,56,,20442,234 RENFROE  ST,409,
Jadyn,TITUS,12061969,0,1,,128,35430,7560 MCKOY  STREET,486,
Logan,HALEY,06121973,0,3,61,114,36933,3267 HAMPTON  STREET,363,
Johan,HAYDEN,05121975,0,3,,146,21307,5302 HICKORY  STREET,158,
Roman,HARDER,05151953,0,3,62,,32951,7861 CAMBRIDGE  ST,120,
Denise,PIKE,02081966,0,1,56,151,34708,9267 GROVE  ST,201,
Lauren,HARMS,03081940,0,1,71,,37767,1443 ASHFIELD  STREET,321,
Colten,MCCLURE,10271941,0,1,69,112,35922,4408 TANYARD CREEK  ST,309,
Gianna,DICKENS,04251984,0,2,71,,32885,1902 LAREDO  ST,178,
Madelynn,PADGETT,09221984,0,2,75,173,39293,3973 KINGS  STREET,189,
Amir,ZAVALA,03201985,0,3,,125,26722,7554 HAMPSHIRE  ST,348,
Dana,SOMMERS,12011943,0,1,75,120,28353,5296 UNDERWOOD  STREET,374,
Michael,CROCKER,03181943,0,3,,115,34018,7677 HILL  STREET,239,
Alexa,WOODS,03061963,0,2,79,,37696,2877 OLD DECATUR  ST,363,
Joanna,ODELL,09111941,0,3,58,131,22135,5388 GLENDALE  ST,118,
Elliot,LAWSON,05271959,0,3,69,,22709,5829 KATHRYN  STREET,430,
Jocelyn,HOLLIDAY,02051973,0,2,74,165,30735,1461 CALLAWAY BUILDING  STREET,136,
Roberto,SUAREZ,03141973,0,2,79,198,34265,5761 HILL  STREET,345,
Katie,GREY,02151946,0,1,63,147,32386,7892 WILTSHIRE  ST,108,
Jaydon,WYATT,11081967,0,2,70,156,35158,334 COLUMBIA  ST,256,
Declan,BYNUM,12231943,0,1,60,138,25674,5021 ASHBURY HEIGHTS  STREET,131,
Joaquin,DICKERSON,11231978,0,1,79,173,33003,2098 DURAND FALLS  ST,345,
Demetrius,CARDENAS,10201952,0,4,67,141,28238,3011 ADAMS  ST,302,
Felix,SPEER,06101967,0,2,61,128,25551,5646 CHARLESGATE  ST,373,
Rafael,SAUNDERS,01071985,0,3,73,158,23116,3235 GARDEN  ST,461,
Yahir,BRADLEY,10141972,0,2,61,146,33130,4007 DALEROSE  STREET,283,
Frank,MONTALVO,07071978,0,4,57,121,35505,9921 SENECA  ST,383,
Kara,QUEZADA,11251943,0,1,60,116,38406,3652 OAKHURST  STREET,111,
Jasmin,WINKLER,09031951,0,2,66,139,36732,1671 HIBERNIA  ST,276,
Saniya,BAIRD,03011972,0,3,63,109,21671,8219 WOODVIEW  STREET,363,
Anahi,ROBINETTE,08161959,0,3,55,104,29416,572 CANDLER GROVE  ST,235,
Jadyn,SOMMERS,12081943,0,2,58,,26307,3881 MCKOY  STREET,449,
Jaylin,NELSON,11111974,0,1,74,164,22570,5286 GRAYSON  ST,114,
Natasha,JOHN,01101943,0,1,,141,39142,2101 HIGH GATE  STREET,123,
Jasper,THURSTON,11151965,0,3,79,165,29727,8408 EMERSON  STREET,306,
Saniya,SEAL,05181971,0,1,65,147,38505,488 GLENLAKE COMMONS  ST,210,
Presley,POWELL,05231948,0,4,72,141,34021,5164 HILLYER  STREET,411,
Hayden,GRUBB,07021957,0,1,,111,31673,9740 ELECTRIC  STREET,177,
Travis,GOULD,12031954,0,3,69,,36448,2981 FERNDALE  ST,452,
Seth,NEWCOMB,12221959,0,1,59,113,34265,3937 WINNONA  ST,463,
Charlotte,MAY,03301976,0,4,77,,37773,7173 CHAMPLAIN  STREET,488,
Maya,FARLEY,10231953,0,3,,163,28626,1516 CHIEF MATTHEWS  ST,461,
Shayla,FARLEY,08171976,0,4,77,159,37140,6124 MONTGOMERY  STREET,306,
Cesar,BOWERS,09211964,0,2,79,,26854,2980 OAKHURST  STREET,353,
Sam,BRINK,10281958,0,2,,148,29396,7306 JEFFERSON SQUARE  ST,453,
Bella,CHAVIS,12081944,0,2,73,153,25131,7972 MONTICELLO  ST,450,
Jakob,HENNING,12181945,0,3,71,154,32205,6400 FERNDALE  STREET,357,
Shannon,LYLE,01061983,0,4,66,144,35195,9142 SAMS  STREET,421,
Albert,DENTON,05191954,0,1,65,113,39927,5505 MCDONOUGH  STREET,153,
Yesenia,PAXTON,08221985,0,3,59,96,,,277,
Nelson,HALE,06211956,0,4,74,,26881,8914 BRUTON  ST,473,
Ismael,WOODY,05031954,0,1,73,170,21838,4912 HORIERIC  STREET,381,
Philip,HO,11291975,0,1,76,,26826,402 MERRILL  ST,300,
Nadia,ELLISON,05181968,0,2,66,135,23504,3026 INMAN  ST,209,
Easton,BARNES,02171982,0,2,,115,33207,1661 PATE  STREET,141,
Ricky,GEARY,05181973,0,4,,,28996,8684 WILTSHIRE  STREET,367,
Nicholas,MANLEY,01311948,0,3,,150,,,247,
Desiree,HOLTON,04261947,0,1,63,,38814,338 MCKINNON  ST,418,
Stella,DUNHAM,01041944,0,2,77,,30877,6990 WESTCHESTER  STREET,346,
Brooke,CORTES,02181944,0,1,55,,32123,3833 BEAUMONT  STREET,139,
Naomi,CLEMENS,05241980,0,2,77,,30553,8078 NORRIS  ST,485,
Hayden,PAXTON,10231941,0,1,72,171,26265,9839 PINEHURST  STREET,363,
Abby,TALBERT,11081962,0,1,66,129,36279,9149 WILLIAMS  STREET,277,
Karen,WARNER,01291953,0,3,78,176,24187,5994 CRAIGIE  ST,339,
Deandre,REID,09291961,0,2,,144,21393,5163 HIGH GATE  ST,208,
Shayla,HOBBS,06131960,0,3,78,170,26171,9394 NELSON FERRY  STREET,280,
Douglas,MCMILLAN,02151968,0,1,75,198,29832,3788 DEERWOOD  ST,438,
Allyson,MCGOWAN,01051955,0,4,65,139,38973,4788 MADISON  STREET,145,
Jeremiah,SYKES,03221955,,2,78,,23040,7038 RIDLEY HOWARD  ST,359,
Alec,BASS,12061985,0,1,70,143,28011,1781 COMMERCE  STREET,220,
Porter,POIRIER,03141941,0,2,63,,38095,7874 CHARTER  STREET,434,
Jennifer,SCARBOROUGH,04031973,0,4,62,147,21532,2356 CRAIGIE  ST,275,
Arthur,READ,03051966,0,4,64,,36040,4203 COTTONWOOD  STREET,463,
Kyle,REARDON,09071966,0,4,56,75,33944,350 JOHNSTON  ST,342,
Raymond,REID,04221947,0,3,58,114,24884,6278 VILLAGE WALK  ST,168,
Jayden,VENTURA,07281950,0,3,67,141,,,345,
Kaiden,WARREN,07181984,0,3,64,127,25625,975 LAREDO  ST,387,
Gregory,STARKEY,04191958,0,1,63,124,38049,8676 WINTER  STREET,431,
Terry,ABREU,06241950,0,1,58,115,31927,9152 BRUTON  STREET,180,
Chloe,ROMO,11261942,0,1,,171,36321,6700 WHEATFIELDS  ST,364,
Emiliano,SINCLAIR,09191961,0,1,78,165,21596,1882 MELROSE  ST,206,
Hunter,MCNAMARA,04041957,0,2,60,123,30359,1978 HAROLD BYRD  ST,166,
David,STUBBS,02161945,0,2,,163,26029,5089 VIVIAN  STREET,152,
Max,CAPPS,07031983,0,2,65,139,33919,3183 ERIE  STREET,122,
Dean,HUYNH,02271972,0,4,69,153,37692,692 COLUMBIA  STREET,241,
Naomi,WOLFORD,09031969,0,2,77,163,21786,1471 ZOAR  STREET,429,
Garrett,PUTNAM,02211972,0,4,78,198,39347,1113 SWANTON HILL  ST,359,
Ethan,BARKLEY,11301969,0,1,65,132,26270,1390 CHAMPLAIN  STREET,427,
Leslie,LEAL,03081964,0,4,69,150,33861,4065 PINE  STREET,428,
Jadyn,NEWBY,02041954,0,2,67,118,39267,1326 ROYAL  STREET,116,
Angie,SHORT,03171964,0,4,,126,31370,7960 FENWAY  STREET,435,
Elaina,BARBER,03261971,0,3,62,137,31620,3925 PINECREST  STREET,397,
Kathleen,JOLLY,12081982,0,2,78,164,33085,5844 DEVONSHIRE  ST,471,
Esteban,NGUYEN,03041961,0,3,66,115,29691,2370 MCDONOUGH  ST,188,
Brayden,SIMMS,04291983,0,1,78,179,24662,6167 CALLAWAY BUILDING  STREET,354,
Fabian,ELLIOT,04131967,0,4,64,126,37334,3403 5TH  ST,151,
Benjamin,CYR,11151957,0,3,78,170,34354,6780 MCKINNON  STREET,294,
Joanna,ROPER,05301981,0,3,56,114,25398,515 JOHNSTON  ST,458,
Eddie,ROCHE,04151944,0,2,59,,32412,2080 HILLMONT  ST,202,
Cali,BAGWELL,06301968,0,4,68,144,25299,5016 GROVE  ST,141,
Reese,LADNER,05041948,0,2,,112,23543,3917 WOODVIEW  STREET,160,
Dayanara,BRYAN,05261952,0,3,,,34011,8697 DAVIS  STREET,280,
Alison,JOHNS,01301968,0,2,,,26885,714 KATHRYN  STREET,263,
Bridget,GOMES,05271952,0,3,66,139,38975,1893 SCOTT  STREET,445,
Tucker,FAGAN,07111941,0,2,,122,34199,9786 CATHERINE  ST,163,
Itzel,LAMBERT,09161979,0,4,72,170,26128,8264 WEEKS  STREET,445,
Kaylin,CHANDLER,07031948,0,3,73,170,23561,8017 WILBURN  STREET,459,
Landon,OLSON,10171970,0,4,59,134,22149,6077 CANDLER OAKS  ST,167,
Evangeline,GARZA,07191976,0,4,,122,,,182,
Erica,JIMENEZ,12291948,0,4,60,120,39628,5937 OLD DECATUR  STREET,127,
Lyla,TANG,09181948,0,1,79,,28103,8612 WOODFERN  ST,321,
Allyson,BERMAN,02191948,0,1,77,172,37633,8665 EASTLAND  ST,255,
Yahir,LADNER,11081981,0,3,,,36209,7988 PINE  ST,433,
Janelle,ERICKSON,06241952,0,2,,174,34386,604 MANOR  ST,193,
Brennan,MARTINEZ,02131973,0,2,68,129,33484,8670 LENORE  ST,404,
Evangeline,SANTIAGO,06131959,0,1,68,129,35784,1864 BARRY  STREET,194,
Alec,LYNN,06281953,0,4,79,152,31181,335 WILLOW  STREET,257,
Levi,BALLARD,10161960,0,1,,138,,,415,
Roman,MATOS,04261941,0,3,58,114,31614,9874 FAIRVIEW  ST,146,
Taylor,NESBITT,08231980,0,4,71,,30265,2133 HAMPSHIRE  ST,363,
Jamarion,CROSS,04281951,0,2,76,162,26562,3797 FOWLER  STREET,379,
Evangeline,AMADOR,05061948,0,3,69,146,21319,5330 KIRK CROSSING  STREET,216,
Lindsey,RATLIFF,07061950,0,3,63,94,22305,7370 MAEDIRIS  ST,162,
Zoey,HAAS,02121955,0,3,70,,25027,3850 CHEVELLE  ST,147,
Macie,SWAN,05211977,0,1,,113,32552,9837 MAEDIRIS  STREET,435,
Paris,ROLLINS,02171957,0,2,61,127,29430,6357 COLLEGE  ST,235,
Raegan,TOMPKINS,02141980,0,3,75,140,24929,2189 MELROSE  ST,326,
Abril,HOLMES,02161952,0,3,,,39349,9788 LEYDEN  ST,417,
Natalie,MARRERO,06271964,0,2,76,143,20435,3299 MEAD  STREET,215,
Sarah,GRADY,06181950,0,2,,125,22599,466 SHADOWMOOR  ST,158,
Kai,CAUDILL,02251940,0,4,76,,20294,6594 VIVIAN  STREET,270,
Raegan,COYLE,10061952,0,4,61,84,30791,8797 1ST  STREET,172,
Kailey,HYDE,01261983,0,3,64,134,31528,5452 MANOR  ST,108,
Eliza,LOCKETT,05111955,0,3,,126,34091,7368 ASHFIELD  ST,478,
Jace,HARTLEY,02231984,0,2,66,139,38095,6487 MAPLE  ST,468,
America,DELEON,08241965,0,3,76,156,29243,8469 VILLA  ST,419,
Kaitlynn,GAVIN,04181940,0,3,79,135,35759,4782 DRIFTWOOD  STREET,234,
Javier,KEMP,05231951,0,1,65,137,24799,8693 CONWAY  STREET,270,
Veronica,COLEY,11151944,0,2,68,,32229,323 FAIRPARK  ST,132,
Brittany,METZ,05281964,0,2,77,211,24584,8230 FAIRFIELD  STREET,420,
Everett,DARBY,04131980,0,4,76,204,21357,726 GRIFFIN  ST,336,
Macy,ARCHULETA,10091967,0,2,77,214,26415,8221 KIRK  ST,189,
Sydney,LAMAR,01171943,0,3,59,103,32504,9534 FAIRPARK  STREET,329,
Malachi,DANIELS,09161975,0,4,79,194,28997,9042 MICHIGAN  ST,412,
Amya,BERNARD,06131940,0,1,,163,27217,5614 HANCOCK  ST,189,
Madalyn,JACQUES,04101975,0,3,71,,21267,5221 NORRIS  ST,303,
Cassandra,LEVY,10101945,0,2,73,163,35728,3869 JOHNSTON  STREET,458,
Jasper,MINOR,01291955,0,1,,140,38142,5663 EMERSON  STREET,107,
Landen,GENTILE,06011950,0,4,60,120,30729,6786 MAXWELL  STREET,335,
Dane,GUTHRIE,01021973,0,4,69,168,39091,6219 WILLIAMS  STREET,355,
Anaya,VICK,03121970,0,3,58,,20459,9281 FORREST  STREET,321,
Oscar,ANGEL,09071962,0,4,69,144,33653,7698 RUPERT  STREET,413,
Eden,HASKINS,02181976,0,2,,168,32243,4740 EMERSON  STREET,226,
Ronald,LEVIN,01051941,0,3,69,126,30199,3412 WOODFERN  STREET,223,
Alaina,NOE,01141978,0,1,74,154,36943,1382 AVERY  STREET,468,
Sierra,BROTHERS,01311955,0,3,63,143,38070,6409 WOODFERN  STREET,417,
Willow,APONTE,11191953,0,3,77,204,35167,859 MICHIGAN  ST,424,
Destiny,AMOS,12091968,0,2,77,,39047,2024 MONTICELLO  STREET,466,
Max,AVALOS,06251983,0,2,55,107,28617,9031 GREEN  ST,313,
Miriam,HONG,04021977,0,1,56,120,36711,9347 POWELL  ST,111,
Chris,NEWSOME,06011976,0,3,61,,30592,2153 PLAINVIEW  ST,175,
Delaney,PIERSON,12231974,0,4,69,,27250,6730 BROOKS  STREET,106,
Kevin,NETTLES,08311950,0,1,68,,38911,3373 LENORE  STREET,360,
Marc,ENNIS,10031983,0,3,,,31376,2551 SYCAMORE  ST,123,
Melvin,CROW,04061949,0,4,77,121,26622,3936 WOODLAWN  ST,296,
Morgan,PRIEST,06161967,0,4,,130,25318,5333 GARDEN  STREET,188,
Paulina,HESTER,11031978,0,4,67,126,39406,2845 CREEKWOOD  ST,435,
Jeffery,NORTH,08161960,0,1,71,150,34632,2395 MERRILL  ST,128,
Julia,HERRING,10261979,0,1,74,,20478,2758 HOWARD  ST,218,
Carson,MCNAMARA,11051956,0,1,65,,23198,3856 WIMBERLY  STREET,356,
Estrella,DEWITT,09041951,0,1,69,175,21241,1974 ATLANTA  STREET,338,
Hanna,HO,04271965,0,3,69,159,29343,3163 DOROTHY  STREET,451,
Gael,HURST,03231969,0,4,78,172,37271,8397 HILL  ST,229,
Ciara,MCBRIDE,11131979,0,4,68,136,36560,8432 CANDLER  ST,327,
Andre,HICKS,09291954,0,1,65,,36144,5160 VIVIAN  STREET,110,
Ali,SOLOMON,08271963,0,4,56,108,24986,2685 ANSLEY  ST,261,
Madalyn,FREE,03271955,0,2,75,152,23320,3705 DAVIS  ST,112,
Alejandro,NORWOOD,02051943,0,4,72,125,34176,4915 ZOAR  ST,325,
Kameron,KURTZ,02021941,0,2,66,150,23453,1810 REGENCY PATH  ST,345,
Heaven,HUYNH,12141980,0,2,76,,31630,7673 LANDOVER  ST,183,
Drake,REEDY,07121951,0,2,,159,38315,4571 OLD DECATUR  ST,262,
Austin,BUTTS,03231962,0,1,58,125,22498,9557 CRAIGIE  ST,336,
Anthony,WEBBER,11081969,0,3,59,109,28354,7257 ADAMS  ST,463,
Peter,STAPLES,02021940,0,1,78,167,37415,5283 FITZGERALD  ST,467,
Heaven,ROPER,08061954,0,2,57,124,38203,5373 VILLA  STREET,239,
Guadalupe,MADRIGAL,01261960,0,1,67,,30956,7532 LAREDO  STREET,404,
Kyla,WORLEY,10101984,0,3,,116,31888,7357 EVANS  ST,167,
Maggie,BEST,12141978,0,4,64,152,22503,9529 CLARION  ST,308,
Sidney,HELMS,07031969,0,1,78,147,34768,9934 VIVIAN  STREET,150,
Gage,HUNTER,11121947,0,1,69,,31912,3775 MOUNT VERNON  ST,217,
Reese,ROUSH,12131955,0,3,,146,22716,8607 DEKALB INDUSTRIAL  STREET,294,
Alejandra,LUCAS,11261947,0,4,67,132,21444,5738 LOCKWOOD  ST,411,
Ana,DEVORE,10091983,0,1,61,118,21561,6039 ADAMS  STREET,209,
Connor,MCKENNA,09181942,0,1,65,,39341,3393 BRUTON  ST,158,
Randy,MENDEZ,02061966,0,3,68,115,22678,3622 TWIN OAKS  ST,496,
Curtis,CONNOLLY,08281955,0,4,,,34537,2256 PEAVINE CREEK  STREET,358,
Harmony,WALDRON,12281959,0,1,57,113,31274,1151 PEAVINE CREEK  ST,291,
Elle,TYSON,09261954,0,3,,146,38186,4505 PEAVINE CREEK  STREET,462,
Billy,KEYES,08121970,0,3,64,125,24069,729 ADAIR  ST,358,
Hunter,IRBY,08061957,0,3,56,112,39308,1343 HOWARD  ST,499,
Hudson,LESLIE,09241978,0,2,,,25114,6646 LUCERNE  ST,171,
Michaela,PATE,07181960,0,2,76,140,22966,5958 OLDFIELD  STREET,196,
Lizbeth,RICKS,02281968,0,4,64,140,26322,5788 SWANTON  ST,445,
Kassidy,DODGE,09031977,0,4,55,96,28397,2281 POWELL  ST,274,
Keaton,HATTON,05091971,0,3,68,151,35092,6460 WILLIAMS  STREET,300,
Elle,HATTON,01021976,0,4,,180,25274,7893 WINN  STREET,304,
Alyssa,LILLY,10221975,0,1,78,145,24007,3165 DYSON  STREET,450,
Lukas,DUMAS,08151965,0,3,79,178,24059,371 PEAVINE CREEK  ST,203,
Miriam,ANAYA,12221973,0,1,72,128,25887,2338 SWANTON HILL  ST,450,
Angie,PONDER,01011971,0,1,,125,28805,4504 NORRIS  ST,273,
Albert,LEMONS,05271976,0,4,76,150,31349,8141 ROYAL  STREET,400,
Isabelle,LARSEN,11111950,0,2,65,147,34057,6180 HEATHERDOWN  ST,143,
Elise,FOLEY,08071985,0,2,,138,36022,7165 SPRINGDALE  STREET,394,
Ryan,ENGLAND,09181959,0,3,,,33156,2158 RIDLEY HOWARD  STREET,406,
Alayna,BORDEN,11011968,0,4,59,118,39293,8990 HAROLD BYRD  STREET,489,
Brodie,CAVANAUGH,09291947,0,2,70,,33182,1308 WOODLAWN  ST,264,
Angie,IVEY,06261946,0,3,61,111,34372,3322 CANDLER  STREET,333,
Kristina,ARNETT,04041972,0,2,76,193,35310,6855 ATLANTA  ST,194,
Perla,BARBOSA,10151944,0,2,58,95,32633,8336 OAKLAND  STREET,454,
Madison,VANHORN,02181962,0,1,69,145,23633,2893 MCKOY  ST,352,
Javon,CALL,04081967,0,3,,151,37213,5730 APPIAN  ST,418,
Camden,BERG,09261976,0,2,69,151,21357,3399 NORTHERN  ST,210,
Ashlynn,CORONA,09291960,0,1,,109,39011,9780 SYCAMORE  STREET,181,
Ryan,XIONG,11151969,0,2,66,100,33441,6039 FAIRFIELD  ST,307,
Alaina,BUNN,03211971,0,2,56,,27663,3407 SPRINGDALE  ST,176,
Kailey,NEUMANN,02201967,,4,55,97,35857,2377 OAKHURST COMMON  STREET,162,
Kadence,GRAHAM,09301982,0,4,67,150,21139,8869 RIDLEY HOWARD  ST,376,
Caroline,NESBITT,06201949,0,2,71,126,26371,3547 VIVIAN  STREET,107,
Emily,SLONE,01101979,0,3,66,126,26747,9817 DEVONSHIRE  STREET,362,
Lucy,BROUSSARD,04071980,0,2,73,,34269,8980 WEEKS  ST,494,
David,SAWYER,09241977,0,2,,174,35533,7243 4TH  STREET,246,
Melanie,BORDEN,11231958,0,1,57,,34267,2806 VILLA  STREET,153,
Morgan,ROOT,02151985,0,1,77,149,25315,5072 OAKHURST COMMON  ST,476,
Zachary,MCALISTER,12071965,0,4,,170,28517,8179 CANDLER POINTE  STREET,235,
Johanna,GREENE,07231940,0,1,79,149,32524,7787 HEATON PARK  STREET,394,
Grant,HUNTER,07231984,0,4,77,,29182,5168 MCKINNON  ST,404,
Vincent,GARCIA,06171982,0,4,74,169,32015,273 STERLING  STREET,127,
Meredith,ROCHE,11181978,0,4,76,168,24242,9447 COLUMBIA  STREET,466,
Kaitlynn,QUEZADA,08171980,0,2,74,179,30268,5834 CALLAWAY  ST,100,
Katherine,KISER,06201967,0,1,56,110,26413,5934 PEAVINE CREEK  ST,104,
Curtis,AGUILAR,08151956,0,4,76,122,34377,3925 JOHNSON  STREET,204,
Jaden,MCCARTNEY,11071952,0,3,79,193,39927,2288 LAKE  STREET,382,
Emmanuel,PACK,03011950,0,3,67,,28998,7355 GRIFFIN  STREET,422,
Angela,PATTERSON,09171941,0,1,72,,37051,4793 LOCKWOOD  STREET,425,
Liam,WHITING,12191975,0,2,75,,20758,2028 RUSSELL  ST,171,
Cassidy,FELDMAN,07301940,0,2,,142,33917,7036 POPE  STREET,346,
Stella,STORY,10011956,0,4,75,,22340,2711 MOUNTAIN VIEW  STREET,312,
Mia,QUINTANA,10231966,0,3,58,123,21012,4533 RIMINGTON  STREET,364,
Karina,IRVIN,11231961,0,4,,100,33726,1860 BEAUMONT  ST,166,
Amelia,SELLERS,08301940,0,4,61,124,30530,9143 MAPLE  ST,235,
Isabel,HANSON,04281955,0,1,70,,39735,6769 GENEVA  ST,184,
Rachael,WARNER,05231945,0,1,65,139,29406,5925 WEEKS  ST,440,
Julianna,HOLBROOK,01211975,0,4,71,127,25188,4957 MELROSE  STREET,401,
Madelyn,MORAN,03291983,0,1,79,165,38215,5843 5TH  ST,410,
Miriam,ALFARO,08241973,0,2,,147,29946,7139 SWANTON  STREET,471,
Daisy,CASE,12291966,0,2,72,125,20740,2719 HICKORY  ST,233,
Darius,PROCTOR,05191966,0,3,57,99,32475,1505 HOWARD  STREET,115,
Lena,JUNG,08111958,0,3,61,134,28855,945 REGAL PATH  ST,237,
Jermaine,CRAIN,09041974,0,2,69,161,23866,749 NELSON FERRY  ST,387,
Aileen,CHRISTENSON,10191975,0,3,71,145,35411,4162 TWIN OAKS  STREET,290,
Raymond,SCHAEFER,07241976,0,1,64,106,27622,3914 SYCAMORE  ST,426,
Hannah,ALANIZ,04101941,0,3,55,110,25270,2772 CHESTER  STREET,402,
Jasper,CARY,02071972,0,4,56,132,31204,6127 WOODBURY  STREET,371,
Hayden,OGLE,04291971,0,3,,142,31021,2508 WOODLAWN  ST,432,
Alayna,HANEY,03311953,0,4,75,168,29113,2724 DEARBORN  STREET,211,
Alexia,BURCHETT,04161964,0,1,63,137,22215,9932 JEFFERSON SQUARE  ST,399,
Haley,BENOIT,05141981,0,2,67,134,31652,7814 POPE  STREET,414,
Xavier,WASHINGTON,07101969,0,1,,88,32310,7222 HAMPTON  ST,322,
Alexandria,THURMAN,12041969,0,2,77,212,30927,1643 RIDLEY  ST,286,
Cheyanne,BELL,03151943,0,2,77,180,34810,5009 PARKSIDE  ST,399,
Alina,SPEAR,07111969,0,1,78,174,36690,7145 GARLAND  STREET,152,
Xander,ECKERT,01131950,0,1,71,,24184,3539 KATIE KERR  STREET,472,
Christian,LAW,11051978,0,2,66,167,32290,301 COLUMBIA  STREET,133,
Theodore,GRECO,03271968,0,2,,153,32147,4946 PINE  ST,387,
Eliana,KEITH,07011966,0,3,69,163,22100,4925 ADAIR  ST,267,
Brayan,SWAIN,07041972,0,3,63,136,36888,8186 DURAND FALLS  ST,384,
Garrett,CROFT,12111966,0,4,73,153,36759,9721 BROWN  ST,459,
Callie,SWEENEY,04011978,0,,55,123,24612,7200 WILLOW  STREET,180,
Cheyanne,LOVETT,07151985,0,3,63,135,24177,9000 DURAND FALLS  ST,331,
Madalyn,SEWELL,03091947,0,2,57,106,25797,7663 LAREDO  ST,149,
Kyleigh,STAHL,04061964,0,4,,,30152,2057 PINE  ST,113,
Enrique,BARTLEY,11071970,0,4,63,,29763,9032 MCKOY  ST,154,
Julie,BEAL,10191959,0,4,,84,25836,7821 JOHNSTON  ST,312,
Nolan,RIVAS,04241940,0,4,75,151,28482,7450 HICKORY  STREET,414,
Richard,SORENSEN,07191975,0,1,61,128,27884,8344 THOMAS  ST,259,
Cristopher,CORNELIUS,01261952,0,1,59,136,34035,5887 GREYLOCK  ST,377,
Leon,JOHNSON,09111954,0,2,63,114,22064,9141 OLD DECATUR  STREET,390,
Emilee,RUTH,01201971,0,2,64,131,39778,1481 HOWARD  ST,335,
Easton,KRAUSE,09161959,0,4,75,,35287,9686 WINTER  STREET,438,
Kathryn,MALONEY,01011985,0,1,,123,36511,198 DYSON  ST,430,
Lindsey,BURROWS,01191944,0,3,61,127,32227,162 DEERWOOD  STREET,487,
Ali,BREWSTER,04021951,0,3,,144,25573,7998 ASHFIELD  ST,110,
Kaden,SORENSON,12161969,0,3,67,147,25033,8980 HAMPTON  ST,253,
Julie,SHAPIRO,04131961,0,4,74,163,25082,8287 MAPLE  STREET,392,
Kyleigh,HURT,05121943,0,2,,170,39918,5356 GARDEN  ST,233,
Aaron,BLEVINS,01311940,0,3,67,156,35351,9997 LENORE  ST,136,
Abigail,BURR,03021975,0,3,,,22746,5103 RUPERT  ST,129,
Issac,KENNY,08101969,0,4,,129,36922,8550 COMMERCE  ST,412,
Cristian,HITE,11081959,0,2,76,177,36547,9100 MICHIGAN  STREET,267,
Jillian,LAWS,03111948,0,3,79,176,29448,4382 BENSON  ST,165,
Jamarion,MORELAND,06091975,0,1,59,96,21985,3518 CANDLER POINTE  STREET,126,
Declan,FLOOD,01161974,0,3,73,147,20913,2469 SYCAMORE RIDGE  STREET,395,
Lauren,MACDONALD,08271949,0,4,68,116,35967,3382 PONCE DE LEON  ST,297,
Erik,HANSON,12041962,0,4,58,,22409,1798 LAKE  STREET,235,
Arthur,NORWOOD,03291941,0,4,,,33620,5545 KNOB HILLS  STREET,442,
Peyton,MANNING,01061975,0,1,67,157,38361,4525 BUCHANAN  ST,308,
Cali,BRAY,07121966,0,1,67,139,24122,2091 MCCLEAN  STREET,409,
Macy,JACQUES,10221978,0,2,,151,37256,1023 ZOAR  ST,402,
Carolina,LUCAS,04111985,0,1,72,119,28910,3577 CANDLER GROVE  ST,491,
Vivian,ZIMMERMAN,11041945,0,4,69,122,23158,6940 FAIRVIEW  ST,467,
Sarah,MULLEN,06131959,0,2,79,,37643,7898 ANSLEY  STREET,269,
Nasir,FIELD,06141976,0,1,77,153,32707,6310 UNDERWOOD  STREET,387,
Harmony,HAN,02231944,0,3,71,155,22230,4195 BARRY  STREET,315,
Angelique,VU,08301960,0,4,79,143,36423,611 GRIFFIN  ST,282,
Keira,MORRISSEY,02121983,0,4,67,169,33523,892 BRUTON  STREET,134,
Jamari,BLISS,07041970,0,4,72,152,34457,5324 HAROLD BYRD  ST,302,
Esmeralda,JOHNSON,06171951,0,3,68,140,20271,2221 GLENDALE  ST,264,
Moises,YAZZIE,03211956,0,4,60,,38059,902 LIVINGSTON  STREET,358,
Izabella,CLARY,07191949,0,3,67,137,34647,8350 APPIAN  STREET,464,
Joseph,WILLIAMS,05211944,0,2,,167,29114,8606 HEATHERDOWN  STREET,318,
Dylan,DENNIS,08231955,0,1,71,139,25924,8859 WINTER  ST,499,
Raul,ENGEL,10201950,0,2,,132,32760,4501 PINECREST  ST,186,
Dayanara,WOLFORD,04261969,0,3,,145,22090,159 KATHRYN  STREET,358,
Alivia,LINN,06251956,0,4,66,149,22747,5545 COTTONWOOD  ST,276,
Harley,THOMPSON,08241974,0,2,57,126,20642,7072 WOODBURY  STREET,151,
Jaxson,PITTS,12261944,0,4,70,133,36345,8234 HURON  STREET,120,
Kassidy,BRITTON,06141959,0,2,67,157,37605,9283 FENWAY  ST,240,
